source,reference,translation,z-score,avg-score,annotators
"Uchopíte pak zbraň mezi své předloktí a rameno těsně předtím, než jej uhodíte do obličeje volným loktem.",You will then grab the weapon between your forearm and shoulder just before you hit it in your face with a free elbow.,You then grasp the gun between your forearm and shoulder before hitting them in the face with your free elbow.,-0.675383349974964,60.0,3
"Ale je-li New York změna, pak je to také znovuobjevování.","But if New York is changed, then it's also a rediscovery.","But if New York is change, it is also reinvention.",-0.829402915149864,44.0,2
"Dlouho a intenzivně jsem během léta přemýšlel, jak mohu tým zlepšit, dát mu hloubku, kterou potřebuje, a dostat jej na vyšší úroveň.","I have been thinking over and over again over the summer how I can improve it, give it the depth it needs and get it to a higher level.",I have thought long and hard over the course of the summer about how I might improve this team to give it the depth it needs and bring it to a higher level.,0.803185181074063,96.5,2
"Najdou si jiný způsob, jak někde podvádět.",They find another way to cheat somewhere.,They will find another way how to defraud others.,0.563148643656119,90.5,2
"Zpráva o výměně v čele prezidentovy administrativy, kterou nyní povede Ivanovův dosavadní zástupce Vajno, je považována za poměrně překvapivou.","The report on the replacement of the president's administration, now headed by Ivanov's current representative Vajno, is considered rather surprising.","The news of the replacement at the top of the president's office has come as a surprise. Ivanov will be replaced by his former deputy, Vajno.",0.0215488287010223,74.6666666666667,3
"Úřady uvedly, že vydatný déšť a zaplacené cesty si vyžádaly záchranu obyvatel z jejich domovů v okrese Tangipahoa a zrušení výuky v pěti školních okrscích.",Officials said heavy rainfall and paid trips required residents to rescue their homes in the Tangipahoa district and cancel teaching in five school districts.,"Heavy rain and street flooding prompted the rescue of residents from their homes in Tangipahoa Parish and the cancellation of classes in five school districts, authorities said.",-0.8176753720342049,51.6666666666667,3
"Všechny ty nahrávky lemují stěny jeho obýváku - na obrázku nahoře (fotku mi poslal e-mailem, nesledoval jsem ho až domů).","All the recordings are lining the walls of his living room - the picture above (the photo sent me by e-mail, I did not follow him home).","These records, pictured above (he emailed me the snap, I didn't follow him home), line his living room walls.",0.287335891636456,76.5,2
"Soap Cherie - obchod, který Verb v létě 2014 nahradil - prodává mýdla ve tvaru dortíků.",Soap Cherie - the store that Verb replaced in the summer of 2014 - sells soap-shaped soaps.,"The store that replaced the Verb in the summer of 2014, Soap Cherie, sells soaps in the shape of cupcakes.",-0.8358548599120091,53.0,2
Lidé si islám někdy spojují s podřízeným postavením ženy.,People sometimes associate Islam with the subordinate status of women.,People sometimes associate Islam with the subordinate position of women.,1.02779121870753,99.0,3
"Znalost cizího jazyka se hodí v každé profesí, u ajťáků je ale nezbytná minimálně slušná angličtina.","Knowledge of a foreign language is appropriate in every profession, but at least it is necessary for the English to understand.",Knowledge of a foreign language is useful in any profession and IT guys need to have at least a decent knowledge of English.,0.17391378917150102,88.5,2
