source,reference,translation,z-score,avg-score,annotators
"You can turn yourself into a pineapple, a dog or a character befitting a Roy Lichtenstein painting.","Voit muuttaa itsesi ananasta, koirasta tai Roy Lichtensteinin maalauksesta sopivasta merkistä.","Voit muuttaa itsesi ananakseksi, koiraksi tai hahmoksi, joka sopisi Roy Lichtensteinin maalaukseen.",-0.286194970713784,34.2,5
Also shot were three men: two 29-year-olds and one 32-year old.,Myös ammuttiin kolme miestä: kaksi 29-vuotiaita ja yksi 32-vuotias.,Myös kolmea miestä ammuttiin: kahta 29-vuotiasta ja yhtä 32-vuotiasta.,0.547076427150851,58.4,5
"The information is stored at the cash registers anyway, whether you want it or not.","Tiedot tallennetaan kassakoneisiin joka tapauksessa, haluatko sen vai ei.","Tiedot kuitenkin tallentuvat kassoilla joka tapauksessa, halusi sitä taikka ei.",1.12247582879082,74.6,5
Xinhua says that there were traces of hydrochlorothiazide diuretic in Xinyi’s sample from Sunday.,"Xinhua kertoo, että Xinyin näytteestä oli sunnuntaina hydroklooritiatsididiureettia.","Xinhua kertoo, että Xinyin sunnuntaina antamasta näytteestä olisi löytynyt merkkejä hydroklooritiatsidi-nimisestä diureetista.",0.3830948172916901,53.6,5
"MacDonald, who was brought on board CBC's commentary team to provide 'color' could be heard saying: 'That little 14-year-old from China dropped the ball, baby'.","Voitaisiin kuulla CBD: n kommenttitiimin toimittama MacDonald, joka sanoi: ""Se pieni 14-vuotias Kiinasta pudotti pallon, vauva"".","MacDonaldin, joka tuli CBC:n selostajatiimiin tuomaan ”väriä”, kuultiin sanovan: ”Tuo pikkuinen 14-vuotias Kiinasta möhläsi, baby.",-0.4930647745183279,32.25,4
"Buyers of stolen bikes are normal Finnish people, according to the police.","Varastettujen polkupyörän ostajat ovat tavanomaisia suomalaisia, poliisin mukaan.",Varastettujen pyörien ostajat ovat poliisin mukaan tavallisia suomalaisia.,1.51666770048069,89.2,5
"Salomon Koli, who raises beef cattle, has a goal of investing in even bigger a cowshed.","Salomon Koli, joka nostaa naudanlihasta, pyrkii investoimaan entistä suurempaan lehmähauteen.",Lihanautoja kasvattavan Salomon Kolin tavoitteena on investoida vielä isompaan navettaan.,-0.632826014547161,30.3333333333333,3
"The news and the outrage went wide on Wednesday, with reports by The Verge and Motherboard, a day after Snapchat said it had dismantled the feature.","Uutiset ja yliluonnos menivät lauantaina keskiviikkona, The Vergen ja emolevyn raportit, päivä sen jälkeen, kun Snapchat sanoi, että se oli purkanut ominaisuuden.","Uutiset ja paheksunta levisivät laajalle keskiviikkona The Vergen ja Motherboardin raporttien myötä, päivä myöhemmin Snapchat sanoi lakkauttaneensa ominaisuuden.",-0.439218050174114,35.6666666666667,3
The most recent method reform,Viimeisin menetelmäuudistus,Tuorein työtapojen uudistus,0.59360433556338,65.0,3
The girl adopted by her grandparents as a toddler and discovered by coach Aimee Boorman's mother during a field trip to the gym where Boorman was coaching has become a force.,"Tytär, jonka hänen isovanhempansa käyttivät taapuisena ja jonka valmentaja Aimee Boormanin äiti löysi kenttämatkalle kuntosalille, jossa Boorman oli valmennus, on tullut voima.","Tästä tytöstä, jonka hänen isovanhempansa adoptoivat taaperona, ja jonka valmentaja Aimee Boormanin äiti löysi, kun tyttö oli opintomatkalla salilla, jossa Boorman valmensi, on tullut voimatekijä.",-0.17387332352742998,44.0,3
The bombs in Thai tourist paradise were hidden in flower pots - horrified tourists escaped,Thai-matkailualueen pommit piilotettiin kukkaruukkuihin - kauhistuneita turisteja pakeni,Thaimaan turistiparatiisin pommit oli piilotettu kukkaruukkuihin - turistit pakenivat kauhuissaan,0.941430768401866,69.4,5
"The complaints are many, covering everything from land use to the governing coalition's stranglehold on power.","Valitukset ovat moninaisia, kattaen kaiken maankäytöstä hallitusten liittoutuneille vallan kuristukseen.",Valitukset ovat moninaisia ja kattavat kaiken maankäytöstä hallitsevan koalition vallan kuristusotteeseen.,0.7319485763472521,69.0,3
